"name","result.year","result.code","result.category"
"Lampsilis virescens","1994","E","Endangered"
"Lampsilis virescens","1990","E","Endangered"
"Lampsilis virescens","1988","E","Endangered"
"Lampsilis virescens","1986","E","Endangered"
"Lamyropsis microcephala","2006","CR","Critically Endangered"
"Lamyropsis microcephala","1998","E","Endangered"
"Lancaris kumariae","2013","CR","Critically Endangered"
"Lanceolaria bilirata","2011","CR","Critically Endangered"
"Lanistes neritoides","1996","CR","Critically Endangered"
"Lanius newtoni","2017","CR","Critically Endangered"
"Lanius newtoni","2016","CR","Critically Endangered"
"Lanius newtoni","2015","CR","Critically Endangered"
"Lanius newtoni","2012","CR","Critically Endangered"
"Lanius newtoni","2010","CR","Critically Endangered"
"Lanius newtoni","2009","CR","Critically Endangered"
"Lanius newtoni","2008","CR","Critically Endangered"
"Lanius newtoni","2004","CR","Critically Endangered"
"Lanius newtoni","2000","CR","Critically Endangered"
"Lanius newtoni","1996","CR","Critically Endangered"
"Lanius newtoni","1994","CR","Critically Endangered"
"Lanius newtoni","1988","T","Threatened"
"Lantzia carinata","2016","CR","Critically Endangered"
"Lantzia carinata","1996","CR","Critically Endangered"
"Lantzia carinata","1994","E","Endangered"
"Laplacea curtyana","1998","CR","Critically Endangered"
"Laplacea curtyana","1998","E","Endangered"
"Laserpitium longiradium","2011","CR","Critically Endangered"
"Lasianthus rhinophyllus","1998","CR","Critically Endangered"
"Lasianthus rhinophyllus","1998","I","Indeterminate"
"Lasiorhinus krefftii","2016","CR","Critically Endangered"
"Lasiorhinus krefftii","2008","CR","Critically Endangered"
"Lasiorhinus krefftii","1996","CR","Critically Endangered"
"Lasiorhinus krefftii","1994","E","Endangered"
"Lasiorhinus krefftii","1990","E","Endangered"
"Lasiorhinus krefftii","1988","E","Endangered"
"Lasiorhinus krefftii","1986","E","Endangered"
